id	name	rating
2013141	Campo Marina Primitivo di Manduria	4.2
79273	Saint-Julien (Grand Cru Classé)	4.2
22175	Brunello di Montalcino	4.2
77136	Unico Reserva Especial Edición	4.7
84065	Amarone della Valpolicella Classico	4.7
1651	Tenuta Tignanello 'Solaia'	4.6
1174525	Brunello di Montalcino Riserva	4.7
2446729	Toscana	4.7
2495612	Douro Tinto	4.7
75975	Barca Velha Douro	4.7
1941035	Pêra Velha Grande Reserva	4.5
11605	Malleolus de Valderramiro	4.5
74306	Cristal Rosé Brut Champagne (Millésimé)	4.6
1721323	Reserva Pessoal Tinto	4.3
1186732	Estiba Reservada	4.7
2022253	PV Gran Cru	4.6
51734	Callabriga Douro	4.1
97051	Saint-Julien (Grand Cru Classé)	4.1
18715	Roda Reserva Rioja	4.2
5520475	Barrabas by Judas	4.2
1138731	Esporão Reserva Branco	4.0
1637573	Profundo	4.2
3714	Lytton Springs	4.2
1929639	Crasto Superior Red	4.0
79266	Moulis-en-Médoc	4.0
1204549	Douro	4.1
1713612	Jumilla Blue Label	4.1
3110	Margaux (Grand Cru Classé)	4.2
7768	Châteauneuf-du-Pape	4.1
1290538	Post Scriptum (de Chryseia) Douro	4.1
80472	Saint-Estèphe (Grand Cru Classé)	4.3
13330	Coyam	4.2
1661385	20 Years Old Tawny Port	4.2
4004983	Paolo e Carlo Primitivo di Manduria Riserva	4.2
6424614	Dona Antonia 10 Años Old Tawny Porto	4.2
1984446	Pagodes de Cos	4.1
19481	Reserva	4.2
1141447	Amarone della Valpolicella Valpantena	4.2
5140412	Moscatel Espumante	4.1
83817	Royale Réserve Brut Champagne	4.1
1163903	Rioja Reserva	4.0
1147563	10 Year Old Tawny Port	4.1
20810	Moscato d'Asti	4.1
1873	Malbec	4.0
2141966	Malbec	4.0
1104824	Whispering Angel Rosé	4.1
1182136	Finca Monasterio Rioja	4.1
1629874	Reserve Malbec (Barrel Selection)	3.9
10998	Reserva Rioja (Finca Ygay)	4.1
2918277	Zinfandel	4.1
1163819	Brut Champagne	4.1
1143613	Cuvée Prestige Brut Champagne	4.1
4537649	Vinho Verde Sweet	4.1
1141133	Prestige Rosé Brut Champagne	4.1
1142212	Rosé Brut Champagne	4.1
1105366	Esporão Reserva Tinto	4.1
9119	Viña Tondonia Reserva	4.2
1141907	Primitivo	3.9
4218931	Red Blend	4.0
2317863	Crianza	4.0
2628	Viña Esmeralda	4.0
60984	Primitivo Salento Torcicoda	4.0
1245550	PSI	4.1
1506316	Patriota Malbec - Bonarda	4.0
2198765	Wild Slopes CGM Red	4.0
1165142	Sancerre Blanc	4.0
1693	Castello della Sala San Giovanni della Sala Classico Superiore	4.0
4447868	Ala Colorada Ancellotta	4.1
1226145	Alentejano Monte da Peceguina Tinto	3.9
1133677	Mora Negra	4.1
1998703	Merlot Reserva	3.8
4985	Cometa	4.1
8036861	Trulli Primitivo di Manduria	4.1
2402719	Talò Primitivo - Merlot	4.0
77491	Brunello di Montalcino	4.1
1168278	Margaux (Grand Cru Classé)	4.2
1178394	Primeiras Vinhas Alvarinho	4.2
1158525	Sauvignon Blanc	4.0
5052806	Saint-Émilion Grand Cru (Grand Cru Classé)	4.1
2318969	Cabernet Franc Limited Edition	4.0
1394956	HANDS OF TIME Red	4.1
2706517	Pure Provence Rosé	4.0
